"filename", "language", "TypeScript", "JSON", "XML", "JSON with Comments", "Markdown", "JavaScript", "MS SQL", "TypeScript JSX", "CSS", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\change_log.md", "Markdown", 0, 0, 0, 0, 621, 0, 0, 0, 0, 0, 192, 813
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\components.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\SEED_DATA_CREDENTIALS.md", "Markdown", 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 72, 359
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\debug_signup_error.md", "Markdown", 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 92, 324
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\After_Dev_Sprint_1_Review.md", "Markdown", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 10, 54
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\After_Dev_Sprint_2_Review.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 9, 47
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\After_Dev_Sprint_3_Review.md", "Markdown", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 11, 60
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\After_Dev_Sprint_4_Review.md", "Markdown", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 17, 70
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\After_Dev_Sprint_5_Review.md", "Markdown", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 38, 186
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_1_Review.md", "Markdown", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 29, 109
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_2_Review.md", "Markdown", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 25, 82
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_3_Review.md", "Markdown", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 14, 43
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_4_Review.md", "Markdown", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 18, 57
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_5_Review.md", "Markdown", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 28, 99
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S2_1_Review.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 9, 35
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S2_2_Review.md", "Markdown", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 29
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S2_3_Review.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 8, 33
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S2_4_Review.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 8, 33
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S2_5_Review.md", "Markdown", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 13, 67
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S3_1_Review.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 9, 35
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S3_2_Review.md", "Markdown", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 9, 33
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S3_3_Review.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 9, 35
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S3_4_Review.md", "Markdown", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 10, 38
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S3_5_Review.md", "Markdown", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 16, 73
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S4_1_Review.md", "Markdown", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 11, 39
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S4_2_Review.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 11, 37
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S4_3_Review.md", "Markdown", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 9, 36
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S4_4_Review.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 10, 35
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\docs\sprints\Sprint_S4_5_Review.md", "Markdown", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 20, 79
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\package-lock.json", "JSON", 0, 11594, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11595
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\package.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\public\file.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\public\globe.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\public\next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\public\vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\public\window.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\scripts\refresh-permissions.mjs", "JavaScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 12, 44
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\scripts\reset-passwords.mjs", "JavaScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 14, 62
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\scripts\test-system.mjs", "JavaScript", 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 52, 269
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\admin-bookings.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 46
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\admin-invitations.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 106
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\admin-packages.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 137
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\admin-products.ts", "TypeScript", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 174
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\admin-reports.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 74
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\admin-roles.ts", "TypeScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 127
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\admin-services.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 145
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\admin-settings.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 69
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\admin-specialties.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 78
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\admin-tickets.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 100
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\admin-users.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 148
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\ai-recommendations.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\ai-style-assistant.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\albums.ts", "TypeScript", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 173
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\auth.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 175
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\booking.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 118
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\cart.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 107
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\checkout.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 65
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\contact.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 62
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\embeddings.ts", "TypeScript", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 200
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\notifications.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 88
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\photographer.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 125
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\profile.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 73
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\reviews.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 104
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\actions\smart-scheduling.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\(public)\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 6, 61
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\(public)\booking\_components\booking-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 333, 0, 0, 29, 362
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\(public)\booking\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\(public)\cart\_components\cart-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 10, 132
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\(public)\cart\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\(public)\checkout\_components\checkout-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 17, 222
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\(public)\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 28
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\(public)\contact\_components\contact-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 5, 73
